Congress.gov API — Nominations, 119th Congress
Endpoint: https://api.congress.gov/v3/nomination/119 (limit=250, all pages)
Fetched: 2026-08-31
Total nomination records returned by the API: 2077
Tally of latestAction.text by leading phrase: {
 "confirmed": 1622,
 "other": 95,
 "pending-calendar": 42,
 "pending-referred": 205,
 "returned": 113
}

--- one line per nomination: citation | number | organization | latestAction.text ---
PN1181-4 | 1181 | The Judiciary | Received in the Senate and referred to the Committee on Veterans' Affairs.
PN1181-6 | 1181 | The Judiciary | Received in the Senate and referred to the Committee on Veterans' Affairs.
PN22-24 | 22 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN25-33 | 25 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN55-4 | 55 | Federal Motor Carrier Safety Administration | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN930-3 | 930 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 46 - 44. Record Vote Number: 193.
PN937-4 | 937 | Department of Housing and Urban Development | Committee on Banking, Housing, and Urban Affairs. Hearings held.
PN1022-27 | 1022 | Department of State | Committee on Foreign Relations. Hearings held.
PN1128 | 1128 | United States Tax Court | Received in the Senate and referred to the Committee on Finance.
PN1132 | 1132 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1135 | 1135 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1148 | 1148 | Coast Guard | Received in the Senate and referred to the Committee on Commerce, Science, and Transportation.
PN1153 | 1153 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN55-38 | 55 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN730-8 | 730 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 46 - 43. Record Vote Number: 125.
PN26-36 | 26 | Department of Transportation | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
